Stock name,Symbol,Link
Adani Power Limited,ADANIPOWER,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ADANIPOWER"""
Adf Foods Limited,ADFFOODS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ADFFOODS"""
Archidply Decor Ltd,ADL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ADL"""
Ador Welding Limited,ADORWELD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ADORWELD"""
Adroit Infotech Ltd,ADROITINFO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ADROITINFO"""
Allied Digital Services Limited,ADSL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ADSL"""
Advani Hotels & Resorts (india) Limited,ADVANIHOTR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ADVANIHOTR"""
Advanced Enzyme Technologies Limited,ADVENZYMES,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ADVENZYMES"""
Aegis Logistics Ltd,AEGISLOG,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AEGISLOG"""
Aeroflex Industries Ltd,AEROFLEX,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AEROFLEX"""
Aether Industries Ltd,AETHER,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AETHER"""
Afcons Infrastructure Ltd,AFCONS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AFCONS"""
Affle India Ltd,AFFLE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AFFLE"""
Affordable Robotic & Automation Ltd,AFFORDABLE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AFFORDABLE"""
Akme Fintrade (India) Ltd,AFIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AFIL"""
Agarwal Industrial Corporation Limited,AGARIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AGARIND"""
Dr Agarwals Health Care Ltd,AGARWALEYE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AGARWALEYE"""
AGI Greenpac Ltd,AGI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AGI"""
AGI Infra Ltd,AGIIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AGIIL"""
Agri-tech (india) Limited,AGRITECH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AGRITECH"""
Agro Phos India Ltd,AGROPHOS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AGROPHOS"""
AGS Transact Technologies Ltd,AGSTRA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AGSTRA"""
Ahlada Engineers Ltd,AHLADA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AHLADA"""
Asian Hotels (east) Limited,AHLEAST,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AHLEAST"""
Ahluwalia Contracts (india) Limited,AHLUCONT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AHLUCONT"""
Aia Engineering Limited,AIAENG,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AIAENG"""
Authum Investment & Infrastructure Ltd,AIIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AIIL"""
Airan Ltd,AIRAN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AIRAN"""
Airo Lam Ltd,AIROLAM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AIROLAM"""
Ajanta Pharma Limited,AJANTPHARM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AJANTPHARM"""
Ajax Engineering Ltd,AJAXENGG,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AJAXENGG"""
Ajmera Realty & Infra India Limited,AJMERA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AJMERA"""
Ajooni Biotech Ltd,AJOONI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AJOONI"""
Akash Infraprojects Ltd,AKASH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AKASH"""
AKG Exim Ltd,AKG,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AKG"""
AKI India Ltd,AKI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AKI"""
Akshar Spintex Ltd,AKSHAR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AKSHAR"""
AksharChem (India) Ltd,AKSHARCHEM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AKSHARCHEM"""
